number,date,strategy,side,instrument,open,close,profit,result,max_profit,max_lose
33427,2023-06-29 19:00:10,so_120,BUY,BNBUSDT,234.7,233.7,-2.49037920749893,0,40.5,-206.65
33428,2023-06-29 19:00:13,sor_120,SELL,BNBUSDT,234.7,233.7,1.77037920749893,1,206.65,-40.5
33429,2023-06-29 21:00:07,so_120,BUY,DOTUSDT,5.024,4.939,-8.81939490445859,0,208.0,-268.7
33430,2023-06-29 21:00:11,sor_120,SELL,DOTUSDT,5.024,4.939,8.0993949044586,1,268.7,-208.0
33431,2023-06-29 23:00:10,so_120,BUY,XRPUSDT,0.4759,0.4743,-2.04102542550955,0,16.8,-268.95
33432,2023-06-29 23:00:15,sor_120,SELL,XRPUSDT,0.4759,0.4743,1.32102542550955,1,268.95,-16.8
33433,2023-06-29 23:00:20,so_120,BUY,AXSUSDT,5.73,5.64,-4.10670157068066,0,13.1,-117.8
33434,2023-06-29 23:00:23,sor_120,SELL,AXSUSDT,5.73,5.64,3.74670157068066,1,117.8,-13.1
33435,2023-06-30 01:00:09,so_120,BUY,LTCUSDT,87.24,84.93,-6.79966987620354,0,0.0,-161.9
33436,2023-06-30 01:00:15,sor_120,SELL,LTCUSDT,87.24,84.93,6.43966987620354,1,161.9,0.0
33437,2023-06-30 05:00:09,so_120,BUY,EOSUSDT,0.726,0.734,5.14964187327824,1,96.4,-564.75
33438,2023-06-30 05:00:13,sor_120,SELL,EOSUSDT,0.726,0.734,-5.86964187327824,0,564.75,-96.4
33439,2023-07-01 01:00:06,so_120,SELL,BTCUSDT,30502.02,30469.83,0.419174926775288,1,391.0,-319.5
33440,2023-07-01 01:00:09,sor_120,BUY,BTCUSDT,30502.02,30469.83,-2.21917492677529,0,319.5,-391.0
33441,2023-07-01 03:00:09,so_120,SELL,XRPUSDT,0.4743,0.4688,5.43801813198398,1,248.8,-87.5
33442,2023-07-01 03:00:13,sor_120,BUY,XRPUSDT,0.4743,0.4688,-6.15801813198398,0,87.5,-248.8
33443,2023-07-01 05:00:07,so_120,BUY,XRPUSDT,0.469,0.4692,-0.146780383795274,1,9.6,-38.4
