"id","instrument","timeframe","ok_percent","ok_final_percent","avg_diff","avg_candle_size","side","volume","candle_count"
12003,BATUSDT,ONE_MINUTE,6.2937064,27.777779,0.008570822,0.22323428,LONG,1735806.0,286
12004,BATUSDT,ONE_MINUTE,100.0,5.376344,0.10141756,0.028987743,SHORT,1735806.0,279
12005,BBUSDT,ONE_MINUTE,6.888889,35.48387,0.028764868,0.28509364,LONG,5040451.0,450
12006,BBUSDT,ONE_MINUTE,72.92111,2.9239767,0.12982078,0.078827456,SHORT,5040451.0,469
12007,BCHUSDT,ONE_MINUTE,6.0215054,60.714287,0.021580333,0.18407474,LONG,30554949,465
12008,BCHUSDT,ONE_MINUTE,74.40347,3.2069972,0.08657972,0.05055085,SHORT,30554949,461
12009,BEAMUSDT,ONE_MINUTE,5.806452,62.962963,0.036219507,0.49055493,LONG,5757480.0,465
12010,BEAMUSDT,ONE_MINUTE,48.44075,9.44206,0.16406344,0.10762876,SHORT,5757480.0,481
12011,BELUSDT,ONE_MINUTE,7.518797,40.0,0.015477178,0.24431509,LONG,1334618.0,399
12012,BELUSDT,ONE_MINUTE,66.666664,3.8732395,0.10977488,0.06308404,SHORT,1334618.0,426
12013,BENDOGUSDT,ONE_MINUTE,7.6923075,76.92308,0.13702108,0.8657384,LONG,23046922,507
12014,BENDOGUSDT,ONE_MINUTE,58.677685,11.267606,0.3659555,0.29023212,SHORT,23046922,484
12015,BICOUSDT,ONE_MINUTE,8.19209,65.51724,0.02334805,0.30055666,LONG,1063308.0,354
12016,BICOUSDT,ONE_MINUTE,84.010155,3.323263,0.12183223,0.054487035,SHORT,1063308.0,394
12017,BIGTIMEUSDT,ONE_MINUTE,7.219251,59.25926,0.043733805,0.48465222,LONG,14896151,374
12018,BIGTIMEUSDT,ONE_MINUTE,73.60775,3.9473684,0.24000323,0.14676811,SHORT,14896151,413
12019,BLASTUSDT,ONE_MINUTE,7.8431373,80.55556,0.043776184,0.4500094,LONG,17358986,459
12020,BLASTUSDT,ONE_MINUTE,34.826885,22.807018,0.15306461,0.14846638,SHORT,17358986,491
12021,BLURUSDT,ONE_MINUTE,8.616188,54.545456,0.02125517,0.29507,LONG,16392186,383
12022,BLURUSDT,ONE_MINUTE,72.817955,1.369863,0.13445331,0.070878476,SHORT,16392186,401
12023,BLZUSDT,ONE_MINUTE,7.900208,47.36842,0.024913317,0.2318824,LONG,2002999.0,481
12024,BLZUSDT,ONE_MINUTE,65.486725,7.0945945,0.1032536,0.06656874,SHORT,2002999.0,452
12025,BNBPERP,ONE_MINUTE,7.377049,0.0,0.0028561593,0.19199361,LONG,251526.0,122
12026,BNBPERP,ONE_MINUTE,94.5946,0.0,0.0761393,0.01415157,SHORT,251526.0,111
12027,BNBUSDT,ONE_MINUTE,5.672269,48.148148,0.010246063,0.10604879,LONG,28309299,476
12028,BNBUSDT,ONE_MINUTE,55.936073,7.755102,0.050777826,0.035878908,SHORT,28309299,438
12029,BNTUSDT,ONE_MINUTE,7.3170733,45.454544,0.0125622535,0.18065555,LONG,660634.0,451
12030,BNTUSDT,ONE_MINUTE,71.32169,6.2937064,0.07809206,0.043826558,SHORT,660634.0,401
12031,BNXUSDT,ONE_MINUTE,5.367793,85.18519,0.06415194,0.4226903,LONG,26308798,503
12032,BNXUSDT,ONE_MINUTE,50.739956,13.333333,0.17864053,0.1501559,SHORT,26308798,473
12033,BOBAUSDT,ONE_MINUTE,6.976744,71.42857,0.014128306,0.17189866,LONG,334584.0,301
12034,BOBAUSDT,ONE_MINUTE,48.659004,14.173228,0.051879376,0.031280577,SHORT,334584.0,261
12035,BOMEUSDT,ONE_MINUTE,7.905983,45.945946,0.039794944,0.29861856,LONG,15927492,468
12036,BOMEUSDT,ONE_MINUTE,55.82822,6.5934067,0.1443089,0.10683043,SHORT,15927492,489
12037,BONDUSDT,ONE_MINUTE,7.4941454,75.0,0.060887206,0.4621838,LONG,27339013,427
12038,BONDUSDT,ONE_MINUTE,62.189056,8.4,0.19784057,0.15294307,SHORT,27339013,402
12039,BRETTUSDT,ONE_MINUTE,4.844961,76.0,0.05443337,0.32364467,LONG,37886325,516
12040,BRETTUSDT,ONE_MINUTE,55.011135,12.955465,0.14955892,0.121666364,SHORT,37886325,449
12041,BSVUSDT,ONE_MINUTE,6.8702292,62.962963,0.013279073,0.20546667,LONG,1177314.0,393
12042,BSVUSDT,ONE_MINUTE,86.96809,3.9755352,0.091676906,0.041511845,SHORT,1177314.0,376
12043,BSWUSDT,ONE_MINUTE,5.485232,61.53846,0.015957396,0.24772444,LONG,309271.0,237
12044,BSWUSDT,ONE_MINUTE,85.60311,3.1818182,0.09423956,0.026263868,SHORT,309271.0,257
12045,BTC-02AUG24,ONE_MINUTE,9.322034,27.272728,0.0022462702,0.2157394,LONG,131805.0,118
12046,BTC-02AUG24,ONE_MINUTE,100.0,0.0,0.089709505,0.0,SHORT,131805.0,121
12047,BTC-19JUL24,ONE_MINUTE,6.866953,43.75,0.007745609,0.17353036,LONG,8446931.0,233
12048,BTC-19JUL24,ONE_MINUTE,98.25327,0.8888889,0.066036016,0.0051116697,SHORT,8446931.0,229
12049,BTC-26JUL24,ONE_MINUTE,5.3846154,14.285714,0.00064803,0.18888673,LONG,144204.0,130
12050,BTC-26JUL24,ONE_MINUTE,100.0,1.438849,0.08506949,0.00026812,SHORT,144204.0,139
12051,BTC-27DEC24,ONE_MINUTE,6.547619,36.363636,0.0041913968,0.20579414,LONG,622811.0,168
12052,BTC-27DEC24,ONE_MINUTE,100.0,0.5714286,0.0820076,0.0,SHORT,622811.0,175
12053,BTC-27JUN25,ONE_MINUTE,8.270677,18.181818,0.0016733325,0.22734626,LONG,266469.0,133
12054,BTC-27JUN25,ONE_MINUTE,100.0,0.0,0.090667285,0.0018288124,SHORT,266469.0,129
12055,BTC-27SEP24,ONE_MINUTE,6.7901235,45.454544,0.0034066653,0.1861327,LONG,520403.0,162
12056,BTC-27SEP24,ONE_MINUTE,99.354836,1.9480519,0.080167904,0.0014183272,SHORT,520403.0,155
12057,BTC-28MAR25,ONE_MINUTE,8.609271,15.384615,0.0021902125,0.2168588,LONG,241468.0,151
12058,BTC-28MAR25,ONE_MINUTE,97.10145,0.0,0.090074524,0.0033143878,SHORT,241468.0,138
12059,BTC-30AUG24,ONE_MINUTE,9.734513,9.090909,0.0013860193,0.23039566,LONG,116603.0,113
12060,BTC-30AUG24,ONE_MINUTE,100.0,0.0,0.09715509,0.00003463,SHORT,116603.0,122
12061,BTCPERP,ONE_MINUTE,6.699752,37.037037,0.00641877,0.12680674,LONG,42074822,403
12062,BTCPERP,ONE_MINUTE,74.37811,2.6755853,0.051175088,0.022302207,SHORT,42074822,402
12063,BTCUSDT,ONE_MINUTE,6.743738,57.142857,0.013228012,0.11156106,LONG,6343886952,519
12064,BTCUSDT,ONE_MINUTE,53.878407,9.727627,0.052615944,0.04312848,SHORT,6343886952,477
12065,C98USDT,ONE_MINUTE,6.8862276,52.173912,0.012226431,0.24427982,LONG,2034691.0,334
12066,C98USDT,ONE_MINUTE,100.0,3.6697247,0.11289363,0.023497287,SHORT,2034691.0,327
12067,CAKEUSDT,ONE_MINUTE,9.574468,22.222221,0.0077757514,0.19357814,LONG,1356692.0,282
12068,CAKEUSDT,ONE_MINUTE,100.0,1.754386,0.09446611,0.015137768,SHORT,1356692.0,285
12069,CANTOUSDT,ONE_MINUTE,7.142857,71.42857,0.022024784,0.4108944,LONG,222241.0,196
12070,CANTOUSDT,ONE_MINUTE,54.054054,9.166667,0.16043521,0.1058246,SHORT,222241.0,222
12071,CEEKUSDT,ONE_MINUTE,5.5,18.181818,0.014932992,0.34498018,LONG,199712.0,200
12072,CEEKUSDT,ONE_MINUTE,75.58685,4.347826,0.11958152,0.02853177,SHORT,199712.0,213
12073,CELOUSDT,ONE_MINUTE,6.753813,54.83871,0.017434819,0.20726317,LONG,3923737.0,459
12074,CELOUSDT,ONE_MINUTE,65.111115,4.095563,0.09116378,0.055834815,SHORT,3923737.0,450
12075,CELRUSDT,ONE_MINUTE,5.782313,41.17647,0.012119614,0.254272,LONG,1357391.0,294
12076,CELRUSDT,ONE_MINUTE,100.0,3.7735848,0.1189051,0.032539036,SHORT,1357391.0,318
12077,CETUSUSDT,ONE_MINUTE,7.329843,28.571428,0.010575698,0.26242363,LONG,148089.0,191
12078,CETUSUSDT,ONE_MINUTE,82.09607,2.6595745,0.11964153,0.032416943,SHORT,148089.0,229
12079,CFXUSDT,ONE_MINUTE,8.008214,51.28205,0.02291243,0.25163254,LONG,4942401.0,487
12080,CFXUSDT,ONE_MINUTE,64.63158,3.583062,0.11075521,0.07372919,SHORT,4942401.0,475
12081,CHRUSDT,ONE_MINUTE,6.2355657,59.25926,0.04199392,0.41899347,LONG,4435501.0,433
12082,CHRUSDT,ONE_MINUTE,66.518845,6.6666665,0.18097878,0.11257279,SHORT,4435501.0,451
12083,CHZUSDT,ONE_MINUTE,6.935123,45.16129,0.015468736,0.18446939,LONG,4433740.0,447
12084,CHZUSDT,ONE_MINUTE,65.85366,8.080808,0.080214,0.046652775,SHORT,4433740.0,451
12085,CKBUSDT,ONE_MINUTE,6.092437,72.413795,0.0319871,0.30457407,LONG,3946518.0,476
12086,CKBUSDT,ONE_MINUTE,57.83898,6.227106,0.13349621,0.09667571,SHORT,3946518.0,472
12087,COMBOUSDT,ONE_MINUTE,6.0439563,45.454544,0.02795244,0.41329098,LONG,909689.0,364
12088,COMBOUSDT,ONE_MINUTE,76.74419,6.734007,0.16068198,0.0659397,SHORT,909689.0,387
12089,COMPUSDT,ONE_MINUTE,8.009153,51.42857,0.0117968805,0.1878839,LONG,2249005.0,437
12090,COMPUSDT,ONE_MINUTE,65.85366,3.3333333,0.0876839,0.045457777,SHORT,2249005.0,410
12091,COREUSDT,ONE_MINUTE,6.9529653,58.82353,0.03700124,0.32796854,LONG,8775062.0,489
12092,COREUSDT,ONE_MINUTE,57.905544,5.319149,0.15208438,0.1056136,SHORT,8775062.0,487
12093,COSUSDT,ONE_MINUTE,6.0702877,63.157894,0.024745854,0.37614673,LONG,379839.0,313
12094,COSUSDT,ONE_MINUTE,56.91824,4.972376,0.13677229,0.0878595,SHORT,379839.0,318
12095,COTIUSDT,ONE_MINUTE,7.5510206,56.756756,0.03398329,0.29801536,LONG,5777852.0,490
12096,COTIUSDT,ONE_MINUTE,55.482456,11.462451,0.12647551,0.09569206,SHORT,5777852.0,456
12097,COVALUSDT,ONE_MINUTE,8.510638,50.0,0.042285975,0.62820715,LONG,491863.0,282
12098,COVALUSDT,ONE_MINUTE,64.7651,10.880829,0.31959674,0.19390504,SHORT,491863.0,298
12099,CROUSDT,ONE_MINUTE,6.128134,68.181816,0.012509798,0.16502976,LONG,826349.0,359
12100,CROUSDT,ONE_MINUTE,79.82709,6.137184,0.06420337,0.029147942,SHORT,826349.0,347
12101,CRVUSDT,ONE_MINUTE,8.208955,57.575756,0.020786107,0.20706585,LONG,22378414,402
12102,CRVUSDT,ONE_MINUTE,74.22681,4.1666665,0.09993042,0.06400175,SHORT,22378414,388
12103,CTCUSDT,ONE_MINUTE,6.615776,53.846153,0.020326322,0.23767652,LONG,743999.0,393
12104,CTCUSDT,ONE_MINUTE,60.73171,6.425703,0.10047975,0.060250655,SHORT,743999.0,410
12105,CTKUSDT,ONE_MINUTE,7.94702,50.0,0.0131231155,0.2126161,LONG,412594.0,302
12106,CTKUSDT,ONE_MINUTE,73.548386,2.631579,0.089982636,0.036695506,SHORT,412594.0,310
12107,CTSIUSDT,ONE_MINUTE,7.5342464,57.575756,0.020008009,0.2842841,LONG,1749668.0,438
12108,CTSIUSDT,ONE_MINUTE,52.073734,5.7522125,0.11393801,0.07745971,SHORT,1749668.0,434
12109,CVCUSDT,ONE_MINUTE,6.9825435,53.57143,0.013313355,0.19929942,LONG,603209.0,401
12110,CVCUSDT,ONE_MINUTE,58.104736,10.300429,0.091604844,0.06701128,SHORT,603209.0,401
12111,CVXUSDT,ONE_MINUTE,6.1576357,72.0,0.02180617,0.24987885,LONG,4319751.0,406
12112,CVXUSDT,ONE_MINUTE,78.18627,4.075235,0.11570797,0.06664249,SHORT,4319751.0,408
12113,CYBERUSDT,ONE_MINUTE,7.572383,64.70588,0.03082019,0.26882434,LONG,3677004.0,449
12114,CYBERUSDT,ONE_MINUTE,65.366974,5.9649124,0.12115856,0.08202932,SHORT,3677004.0,436
12115,DAOUSDT,ONE_MINUTE,5.5837564,72.72727,0.017378319,0.25222224,LONG,257895.0,197
