close  ,max_lose,max_profit,number,open   ,profit,result,instrument,side,strategy          ,date
64070.1,0.0     ,0.9996    ,31403 ,63820.0 ,4.59   ,1     ,BTCUSDT   ,Buy ,maxCh_120         ,2024-04-26 17:45:19.623
64070.1,0.0     ,1.284     ,31404 ,63820.0 ,6.38   ,1     ,BTCUSDT   ,Buy ,maxCh_120SlMin    ,2024-04-26 17:45:19.920
64034.6,0.0     ,1.079     ,31405 ,63820.0 ,2.46   ,1     ,BTCUSDT   ,Buy ,maxCh_120SlMax    ,2024-04-26 17:45:29.631
143.65 ,-1.671  ,1.693     ,31406 ,142.57  ,0.48   ,1     ,SOLUSDT   ,Buy ,maxCh_mTP         ,2024-04-26 18:15:15.465
3145.96,-1.8452 ,1.356     ,31407 ,3124.38 ,2.73   ,1     ,ETHUSDT   ,Buy ,maxCh_p10_sh      ,2024-04-26 18:17:03.655
3145.96,-1.8699 ,1.279     ,31408 ,3124.38 ,1.39   ,1     ,ETHUSDT   ,Buy ,maxCh_mTP         ,2024-04-26 18:17:04.070
6.85   ,0.0     ,1.005     ,31409 ,6.785   ,4.47   ,1     ,DOTUSDT   ,Buy ,maxCh_mTP         ,2024-04-26 19:05:12.728
3141.08,-0.3198 ,2.226     ,31410 ,3104.75 ,6.04   ,1     ,ETHUSDT   ,Buy ,maxCh_120         ,2024-04-26 19:31:09.977
3141.08,-1.7129 ,2.226     ,31411 ,3104.75 ,6.04   ,1     ,ETHUSDT   ,Buy ,maxCh_120_m_miniSL,2024-04-26 19:31:10.269
3141.08,-1.8811 ,2.226     ,31412 ,3104.75 ,6.04   ,1     ,ETHUSDT   ,Buy ,maxCh_120_p_miniSL,2024-04-26 19:31:10.542
3134.51,-0.3198 ,1.269     ,31413 ,3104.75 ,11.29  ,1     ,ETHUSDT   ,Buy ,maxCh_120SlMax    ,2024-04-26 19:45:10.198
6.877  ,-1.9379 ,1.618     ,31414 ,6.785   ,8.24   ,1     ,DOTUSDT   ,Buy ,maxCh_m10_sh      ,2024-04-26 20:25:35.641
6.877  ,-1.2055 ,1.356     ,31415 ,6.785   ,4.55   ,1     ,DOTUSDT   ,Buy ,maxCh_mSL         ,2024-04-26 20:25:36.235
6.877  ,-2.0935 ,1.356     ,31416 ,6.785   ,-84.29 ,1     ,DOTUSDT   ,Buy ,maxCh_pSL         ,2024-04-26 20:25:36.500
6.877  ,-1.6968 ,1.684     ,31417 ,6.785   ,-51.46 ,1     ,DOTUSDT   ,Buy ,maxCh_pTP         ,2024-04-26 20:25:36.750
6.864  ,-1.6407 ,2.206     ,31418 ,6.784   ,-66.18 ,1     ,DOTUSDT   ,Buy ,maxCh_120_m_miniSL,2024-04-26 20:40:06.429
6.864  ,-1.7669 ,2.163     ,31419 ,6.783   ,-35.89 ,1     ,DOTUSDT   ,Buy ,maxCh_120_p_miniSL,2024-04-26 20:40:06.692
140.48 ,-1.3143 ,1.693     ,31420 ,142.09  ,2.93   ,0     ,SOLUSDT   ,Buy ,maxCh_mSL         ,2024-04-26 22:25:21.883
140.17 ,-1.671  ,1.693     ,31421 ,139.83  ,16.22  ,1     ,SOLUSDT   ,Buy ,maxCh_mTP         ,2024-04-26 22:36:07.887
2890.7 ,0.0     ,1.891     ,31422 ,2923.18 ,23.36  ,1     ,MKRUSDT   ,Sell,maxCh_m10_sh      ,2024-04-26 22:39:24.486
138.83 ,-2.0185 ,1.61      ,31423 ,141.69  ,3.81   ,0     ,SOLUSDT   ,Buy ,maxCh_pTP         ,2024-04-26 22:44:09.463
138.83 ,-1.8869 ,1.421     ,31424 ,141.5   ,13.18  ,0     ,SOLUSDT   ,Buy ,maxCh_120_m_miniSL,2024-04-26 22:44:09.698
138.83 ,-2.0669 ,1.455     ,31425 ,141.76  ,4.44   ,0     ,SOLUSDT   ,Buy ,maxCh_120_p_miniSL,2024-04-26 22:44:09.921
139.87 ,0.0     ,1.182     ,31426 ,139.42  ,3.37   ,1     ,SOLUSDT   ,Buy ,maxCh_120         ,2024-04-26 23:23:35.208
139.87 ,0.0     ,0.5005    ,31427 ,139.42  ,3.37   ,1     ,SOLUSDT   ,Buy ,maxCh_120SlMin    ,2024-04-26 23:23:35.582
139.84 ,-0.1121 ,1.182     ,31428 ,139.42  ,3.37   ,1     ,SOLUSDT   ,Buy ,maxCh_120SlMax    ,2024-04-26 23:24:04.647
137.89 ,-2.2343 ,1.693     ,31429 ,140.84  ,2.93   ,0     ,SOLUSDT   ,Buy ,maxCh_pSL         ,2024-04-27 00:30:37.460
136.86 ,-1.3551 ,1.693     ,31430 ,138.74  ,-34.82 ,0     ,SOLUSDT   ,Buy ,maxCh_mSL         ,2024-04-27 00:42:06.839
6.703  ,0.0     ,1.005     ,31431 ,6.671   ,4.47   ,1     ,DOTUSDT   ,Buy ,maxCh_p10_sh      ,2024-04-27 00:49:01.092
6.703  ,0.0     ,1.005     ,31432 ,6.678   ,18.61  ,1     ,DOTUSDT   ,Buy ,maxCh_mTP         ,2024-04-27 00:49:01.512
137.21 ,0.0     ,0.6381    ,31433 ,136.34  ,4.02   ,1     ,SOLUSDT   ,Buy ,maxCh_120SlMin    ,2024-04-27 00:49:12.176
137.21 ,-1.3551 ,1.693     ,31434 ,136.34  ,-41.48 ,1     ,SOLUSDT   ,Buy ,maxCh_mSL         ,2024-04-27 00:49:12.639
137.21 ,-2.2343 ,1.693     ,31435 ,136.34  ,-110.79,1     ,SOLUSDT   ,Buy ,maxCh_pSL         ,2024-04-27 00:49:13.213
137.21 ,-2.0185 ,1.61      ,31436 ,136.34  ,-76.52 ,1     ,SOLUSDT   ,Buy ,maxCh_pTP         ,2024-04-27 00:49:13.450
137.21 ,-1.671  ,1.693     ,31437 ,136.34  ,1.0    ,1     ,SOLUSDT   ,Buy ,maxCh_mTP         ,2024-04-27 00:49:13.867
0.8183 ,-2.0495 ,1.704     ,31438 ,0.8142  ,1.46   ,1     ,EOSUSDT   ,Buy ,maxCh_120SlMin    ,2024-04-27 00:49:34.839
0.8183 ,-1.9548 ,1.763     ,31439 ,0.8149  ,1.23   ,1     ,EOSUSDT   ,Buy ,maxCh_m10_sh      ,2024-04-27 00:49:35.226
0.8183 ,-1.9132 ,1.8       ,31440 ,0.8128  ,44.46  ,1     ,EOSUSDT   ,Buy ,maxCh_p10_sh      ,2024-04-27 00:49:35.457
0.8183 ,-2.8709 ,1.704     ,31441 ,0.8142  ,1.46   ,1     ,EOSUSDT   ,Buy ,maxCh_mSL         ,2024-04-27 00:49:35.858
0.8183 ,-2.6728 ,2.072     ,31442 ,0.8142  ,44.77  ,1     ,EOSUSDT   ,Buy ,maxCh_pSL         ,2024-04-27 00:49:36.308
0.8183 ,-1.8663 ,1.719     ,31443 ,0.8142  ,0.85   ,1     ,EOSUSDT   ,Buy ,maxCh_mTP         ,2024-04-27 00:49:36.582
87.2   ,0.0     ,0.6422    ,31444 ,86.69   ,1.87   ,1     ,LTCUSDT   ,Buy ,maxCh_120SlMin    ,2024-04-27 00:50:25.006
87.2   ,-1.8006 ,1.346     ,31445 ,86.81   ,26.38  ,1     ,LTCUSDT   ,Buy ,maxCh_m10_sh      ,2024-04-27 00:50:25.234
87.2   ,0.0     ,1.346     ,31446 ,86.69   ,26.38  ,1     ,LTCUSDT   ,Buy ,maxCh_mSL         ,2024-04-27 00:50:25.457
87.2   ,0.0     ,1.346     ,31447 ,86.69   ,26.38  ,1     ,LTCUSDT   ,Buy ,maxCh_pSL         ,2024-04-27 00:50:25.677
87.2   ,0.0     ,1.346     ,31448 ,86.69   ,26.38  ,1     ,LTCUSDT   ,Buy ,maxCh_mTP         ,2024-04-27 00:50:25.913
136.87 ,0.0     ,1.182     ,31449 ,136.34  ,4.02   ,1     ,SOLUSDT   ,Buy ,maxCh_120         ,2024-04-27 00:51:50.566
136.87 ,-1.8869 ,1.421     ,31450 ,136.34  ,-114.04,1     ,SOLUSDT   ,Buy ,maxCh_120_m_miniSL,2024-04-27 00:51:50.888
136.87 ,-2.0669 ,1.455     ,31451 ,136.34  ,-62.83 ,1     ,SOLUSDT   ,Buy ,maxCh_120_p_miniSL,2024-04-27 00:51:51.311
591.9  ,0.0     ,1.553     ,31452 ,590.18  ,38.27  ,1     ,BNBUSDT   ,Buy ,maxCh_mTP         ,2024-04-27 00:55:13.297
136.54 ,-0.1121 ,1.182     ,31453 ,136.34  ,3.69   ,1     ,SOLUSDT   ,Buy ,maxCh_120SlMax    ,2024-04-27 00:55:32.108
0.8215 ,-1.8663 ,1.972     ,31454 ,0.8142  ,-42.79 ,1     ,EOSUSDT   ,Buy ,maxCh_pTP         ,2024-04-27 00:57:58.185
87.03  ,0.0     ,1.07      ,31455 ,86.69   ,1.87   ,1     ,LTCUSDT   ,Buy ,maxCh_120         ,2024-04-27 00:57:58.444
87.03  ,0.0     ,1.325     ,31456 ,86.69   ,30.31  ,1     ,LTCUSDT   ,Buy ,maxCh_120_m_miniSL,2024-04-27 00:57:58.673
87.03  ,0.0     ,1.176     ,31457 ,86.69   ,16.91  ,1     ,LTCUSDT   ,Buy ,maxCh_120_p_miniSL,2024-04-27 00:57:58.963
86.87  ,0.0     ,0.965     ,31458 ,86.69   ,1.87   ,1     ,LTCUSDT   ,Buy ,maxCh_120SlMax    ,2024-04-27 00:58:19.657
6.707  ,-0.059  ,1.005     ,31459 ,6.678   ,-1.73  ,1     ,DOTUSDT   ,Buy ,maxCh_120SlMin    ,2024-04-27 01:00:29.279
6.707  ,-1.9379 ,1.618     ,31460 ,6.678   ,26.57  ,1     ,DOTUSDT   ,Buy ,maxCh_m10_sh      ,2024-04-27 01:00:29.521
